    PID     TID    PPID STAT %CPU WCHAN                    COMMAND
   2690    2690    2567 S<Ll  6.6 ntsync_schedule.isra.0   mgs2_sse_rg353v
   2690    3317    2567 RLl   0.5 -                        mgs2_sse_rg353v
   2690    3334    2567 S<Ll  0.0 ntsync_schedule.isra.0   mgs2_sse_rg353v
   2690    3335    2567 RLl  15.6 -                        mgs2_sse_rg353v
   2690    3342    2567 S<Ll  0.0 futex_wait               mali-mem-purge
   2690    3343    2567 S<Ll  0.0 futex_wait               mali-utility-wo
   2690    3344    2567 S<Ll  0.0 futex_wait               mali-utility-wo
   2690    3345    2567 S<Ll  0.0 futex_wait               mali-utility-wo
   2690    3346    2567 S<Ll  0.0 futex_wait               mali-utility-wo
   2690    3347    2567 S<Ll  4.4 do_sys_poll              mali-cmar-backe
   2690    3348    2567 S<Ll  0.3 futex_wait               mali-compiler
   2690    3349    2567 RLl  67.4 -                        wined3d_cs
   2690    3360    2567 S<Ll  0.0 do_epoll_wait            alsa-pipewire
   2690    3361    2567 S<Ll  2.9 do_epoll_wait            data-loop.0
   2690    3362    2567 S<Ll  1.0 do_select                audio_client_ti
   2690    3365    2567 S<Ll 13.9 ntsync_schedule.isra.0   wine_dsound_mix
   2690    3369    2567 SLl   0.0 futex_wait               mmdevapi_midi_n
   2690    3370    2567 SLl   0.2 futex_wait               wine_dmime_mess
   2690    3371    2567 SLl   0.0 ntsync_schedule.isra.0   wine_dmsynth_si
   2690    3372    2567 SLl   4.9 ntsync_schedule.isra.0   wine_dmsynth_si
   2690    3373    2567 S<Ll  3.6 ntsync_schedule.isra.0   mgs2_sse_rg353v
   2690    3374    2567 S<Ll  1.3 futex_wait               mgs2_sse_rg353v
   2690    3375    2567 S<Ll  0.8 ntsync_schedule.isra.0   mgs2_sse_rg353v
   2690    3376    2567 RLl  85.3 -                        mgs2_sse_rg353v
   2690    3377    2567 SLl   0.5 ntsync_schedule.isra.0   wine_dinput_wor
